,coaster_name,Length,Speed,Location,Coordinates,Status,Opening date,General statistics,Type,Manufacturer,Height restriction,Model,Height,Inversions,Lift/launch system,Cost,Trains,Park section,Duration,Capacity,G-force,Designer,Max vertical angle,Drop,Soft opening date,Fast Lane available,Replaced,Track layout,Fastrack available,Soft opening date,Closing date,Opened,Replaced by,General Statistics,Website,Flash Pass Available,Must transfer from wheelchair,Theme,Single rider line available,Restraint Style,Flash Pass available,Acceleration,Restraints,Name
Switchback Railway,Switchback Railway,600 ft (180 m),6 mph (9.7 km/h),Coney Island,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}40°34′26″N 73°58′41″W﻿ / ﻿40.574°N 73.978°WCoordinates: 40°34′26″N 73°58′41″W﻿ / ﻿40.574°N 73.978°W",Removed,"June 16, 1884",General statistics,Wood,LaMarcus Adna Thompson,,Lift Packed,50 ft (15 m),,gravity,,,Coney Island Cyclone Site,1:00,1600 riders per hour,2.9,LaMarcus Adna Thompson,30°,43 ft (13 m),,,,Gravity pulled coaster,,,,,,,,,,,,,,,,
Flip Flap Railway,Flip Flap Railway,,,Sea Lion Park,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}40°34′41″N 73°58′44″W﻿ / ﻿40.578°N 73.979°WCoordinates: 40°34′41″N 73°58′44″W﻿ / ﻿40.578°N 73.979°W",Removed,1895,General statistics,Wood,Lina Beecher,,,,1,,,a single car. Riders are arranged 1 across in 2 rows for a total of 2 riders per train.,,,,12,Lina Beecher,,,,,,,,,1902,,,,,,,,,,,,,
0,Switchback Railway (Euclid Beach Park),,,"Cleveland, Ohio, United States",".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}41°34′48″N 81°34′12″W﻿ / ﻿41.580°N 81.570°WCoordinates: 41°34′48″N 81°34′12″W﻿ / ﻿41.580°N 81.570°W",Closed,,,,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,
Loop the Loop,Loop the Loop (Coney Island),,,,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}40°34′28″N 73°58′41″W﻿ / ﻿40.5745°N 73.978°WCoordinates: 40°34′28″N 73°58′41″W﻿ / ﻿40.5745°N 73.978°W",Removed,1901,,Steel,Edwin Prescott,,,,1,,,a single car. Riders are arranged 2 across in 2 rows for a total of 4 riders per train.,,,,,Edward A. Green,,,,,Switchback Railway,,,,1910,,Giant Racer,General Statistics,,,,,,,,,,
Loop the Loop,Loop the Loop (Young's Pier),,,,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}39°21′14″N 74°26′03″W﻿ / ﻿39.3538°N 74.4342°WCoordinates: 39°21′14″N 74°26′03″W﻿ / ﻿39.3538°N 74.4342°W",Removed,1901,,Steel,Edwin Prescott,,,,1,,,,,,,,Edward A. Green,,,,,,,,,1912,,,General Statistics,,,,,,,,,,
Cannon Coaster,Cannon Coaster,,,Coney Island,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}40°34′30″N 73°58′48″W﻿ / ﻿40.575°N 73.98°WCoordinates: 40°34′30″N 73°58′48″W﻿ / ﻿40.575°N 73.98°W",Removed,1902,General statistics,Wood,George Francis Meyer,,,40 ft (12 m),,,,,,,,,,,,,,,,,,1907,,,,,,,,,,,,,
Leap-The-Dips,Leap-The-Dips,"1,452 ft (443 m)",10 mph (16 km/h),Lakemont Park,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}40°28′15″N 78°23′48″W﻿ / ﻿40.47083°N 78.39667°W",Operating,1902,General statistics,Wood – Side friction,Federal Construction Company,,,41 ft (12 m),,,,,,1:00,,,Edward Joy Morris,25°,9 ft (2.7 m),,,,,,,,,,,,,,,,,,,,
0,Figure Eight (Euclid Beach Park),,,"Cleveland, Ohio, United States",".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}41°34′48″N 81°34′12″W﻿ / ﻿41.580°N 81.570°WCoordinates: 41°34′48″N 81°34′12″W﻿ / ﻿41.580°N 81.570°W",Closed,,,,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,
Drop the Dip,Drop the Dip,,,Coney Island,".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}40°34′28″N 73°58′43″W﻿ / ﻿40.5744°N 73.9786°WCoordinates: 40°34′28″N 73°58′43″W﻿ / ﻿40.5744°N 73.9786°W",Removed,"June 6, 1907",General statistics,,Arthur Jarvis,,,60 ft (18 m),,,,,,1 minute 30 seconds,,,"Christopher Feucht, Welcome Mosley",,,,,,,,,1930s,,,,,,,,,,,,,
0,Scenic Railway (Euclid Beach Park),,,"Cleveland, Ohio, United States",".mw-parser-output .geo-default,.mw-parser-output .geo-dms,.mw-parser-output .geo-dec{display:inline}.mw-parser-output .geo-nondefault,.mw-parser-output .geo-multi-punct{display:none}.mw-parser-output .longitude,.mw-parser-output .latitude{white-space:nowrap}41°34′48″N 81°34′12″W﻿ / ﻿41.580°N 81.570°WCoordinates: 41°34′48″N 81°34′12″W﻿ / ﻿41.580°N 81.570°W",Closed,,,,,,,,,,,,,,,,,,,,,,,,,,1895,,,,,,,,,,,,
